,MRSP,Drivetrain,Passenger Capacity,Passenger Doors,Transmission,"Fuel Tank Capacity, Approx (gal)",Engine Type,Brake Type,Brake ABS System,Spare Wheel Material,Front Wheel Material,Rear Wheel Material,Suspension Type - Front,Suspension Type - Rear,Child Safety Rear Door Locks,Daytime Running Lights,Traction Control,Rollover Protection Bars,Fog Lamps,Parking Aid,Tire Pressure Monitor,Back-Up Camera,Stability Control,Basic Miles/km,Basic Years,Corrosion Miles/km,Corrosion Years,Drivetrain Miles/km,Drivetrain Years,Roadside Assistance Miles/km,Roadside Assistance Years,City Mileage,Highway Mileage,Engine Fuel Type,Engine Displacement,Gears,torque,Horsepower,Year,Make,Main Make
90,46515.0,2,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,18.0,26.0,77,3.5,9,267.0,290.0,2016,1465,0
91,45015.0,2,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,18.0,26.0,77,3.5,9,267.0,290.0,2016,1465,0
92,50640.0,0,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,19.0,27.0,77,3.5,9,267.0,290.0,2016,1465,0
93,49440.0,0,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,19.0,27.0,77,3.5,9,267.0,290.0,2016,1465,0
94,48640.0,0,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,19.0,27.0,77,3.5,9,267.0,290.0,2016,1465,0
95,47440.0,0,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,19.0,27.0,77,3.5,9,267.0,290.0,2016,1465,0
96,55230.0,0,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,1,1,1,1,6,2,4,5,6,5,5,3,20.0,27.0,77,3.5,9,267.0,290.0,2016,1465,0
97,53230.0,0,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,1,1,1,1,6,2,4,5,6,5,5,3,20.0,27.0,77,3.5,9,267.0,290.0,2016,1465,0
98,44515.0,0,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,19.0,27.0,77,3.5,9,267.0,290.0,2016,1465,0
99,42765.0,0,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,20.0,28.0,77,3.5,6,267.0,290.0,2015,1234,0
100,51040.0,2,7,4,0,19.5,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,18.0,27.0,77,3.5,6,267.0,290.0,2015,1234,0
101,49040.0,2,7,4,0,19.5,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,18.0,27.0,77,3.5,6,267.0,290.0,2015,1234,0
102,56980.0,2,7,4,0,19.5,73,1,0,5,1,1,99,100,1,1,1,0,0,1,1,1,1,6,2,4,5,6,5,5,3,18.0,27.0,77,3.5,6,267.0,290.0,2015,1234,0
103,44765.0,2,7,4,0,19.5,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,18.0,27.0,77,3.5,6,267.0,290.0,2015,1234,0
104,49040.0,0,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,20.0,28.0,77,3.5,6,267.0,290.0,2015,1234,0
105,47040.0,0,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,20.0,28.0,77,3.5,6,267.0,290.0,2015,1234,0
106,54980.0,0,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,1,1,1,1,6,2,4,5,6,5,5,3,20.0,28.0,77,3.5,6,267.0,290.0,2015,1234,0
107,42290.0,0,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,20.0,28.0,77,3.5,6,267.0,290.0,2014,1038,0
108,50565.0,2,7,4,0,19.5,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,18.0,27.0,77,3.5,6,267.0,290.0,2014,1038,0
109,48565.0,2,7,4,0,19.5,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,18.0,27.0,77,3.5,6,267.0,290.0,2014,1038,0
110,56505.0,2,7,4,0,19.5,73,1,0,5,1,1,99,100,1,1,1,0,0,1,1,1,1,6,2,4,5,6,5,5,3,18.0,27.0,77,3.5,6,267.0,290.0,2014,1038,0
111,44290.0,2,7,4,0,19.5,73,1,0,5,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,18.0,27.0,77,3.5,6,267.0,290.0,2014,1038,0
112,48565.0,0,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,20.0,28.0,77,3.5,6,267.0,290.0,2014,1038,0
113,46565.0,0,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,20.0,28.0,77,3.5,6,267.0,290.0,2014,1038,0
114,54505.0,0,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,1,1,1,1,6,2,4,5,6,5,5,3,20.0,28.0,77,3.5,6,267.0,290.0,2014,1038,0
120,43030.0,2,7,4,1,21.0,28,0,0,5,0,0,62,100,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,16.0,21.0,43,3.7,6,270.0,300.0,2012,665,0
121,48605.0,2,7,4,1,21.0,28,0,0,5,0,0,62,100,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,16.0,21.0,43,3.7,6,270.0,300.0,2012,665,0
122,52655.0,2,7,4,1,21.0,28,0,0,5,0,0,62,100,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,16.0,21.0,43,3.7,6,270.0,300.0,2012,665,0
124,52655.0,2,7,4,1,21.0,28,0,0,5,0,0,62,100,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,16.0,21.0,43,3.7,6,270.0,300.0,2012,665,0
125,42930.0,2,7,4,1,21.0,28,0,0,5,0,0,42,66,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,16.0,21.0,43,3.7,6,270.0,300.0,2011,490,0
126,48505.0,2,7,4,1,21.0,28,0,0,5,0,0,42,66,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,16.0,21.0,43,3.7,6,270.0,300.0,2011,490,0
127,46605.0,2,7,4,1,21.0,28,0,0,5,0,0,42,66,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,16.0,21.0,43,3.7,6,270.0,300.0,2011,490,0
128,54455.0,2,7,4,1,21.0,28,0,0,5,0,0,42,66,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,16.0,21.0,43,3.7,6,270.0,300.0,2011,490,0
129,52555.0,2,7,4,1,21.0,28,0,0,5,0,0,42,66,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,16.0,21.0,43,3.7,6,270.0,300.0,2011,490,0
130,42230.0,2,7,4,1,21.0,28,0,0,5,0,0,42,66,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,16.0,21.0,43,3.7,6,270.0,300.0,2010,323,0
131,47805.0,2,7,4,1,21.0,28,0,0,5,0,0,42,66,1,1,1,0,1,0,1,1,1,6,2,4,5,6,5,5,3,16.0,21.0,43,3.7,6,270.0,300.0,2010,323,0
